                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     75,                 1.5831,                 2.2549,                 1.8225,                0.69332,                0.66317,                0.68179,                0.39417,                 1.7215,                 2.4293,                 2.0168,              0.0089476,              0.0089476,              0.0089476
                     76,                 1.5221,                 2.2438,                 1.8096,                 0.7203,                0.66057,                0.71654,                0.43221,                 1.6758,                  2.258,                 1.9992,              0.0089201,              0.0089201,              0.0089201
                     77,                 1.5415,                 2.2063,                 1.7961,                0.74895,                0.63697,                0.70995,                0.40854,                 1.7129,                 2.3317,                 2.0126,              0.0088922,              0.0088922,              0.0088922
                     78,                 1.5404,                 2.2462,                 1.8219,                0.74674,                0.65716,                0.71931,                0.43357,                 1.6808,                 2.2748,                 2.0029,               0.008864,               0.008864,               0.008864
                     79,                 1.5395,                 2.1484,                 1.7848,                0.78673,                0.66424,                0.73678,                0.42993,                 1.6918,                  2.237,                 2.0036,              0.0088356,              0.0088356,              0.0088356
                     80,                 1.5249,                 2.2147,                 1.7974,                0.78272,                0.66738,                0.72984,                0.42515,                 1.6888,                 2.2725,                 1.9794,              0.0088068,              0.0088068,              0.0088068
                     81,                 1.5545,                 2.2052,                 1.8205,                0.77399,                0.62739,                0.70504,                0.41842,                 1.6962,                 2.4014,                 2.0246,              0.0087777,              0.0087777,              0.0087777
                     82,                 1.5546,                 2.2014,                 1.8165,                0.76225,                0.66478,                0.72682,                0.42016,                 1.6999,                 2.2495,                 2.0261,              0.0087483,              0.0087483,              0.0087483
                     83,                 1.5344,                 2.2033,                 1.8116,                0.76612,                  0.651,                0.70172,                0.40667,                 1.7267,                 2.3917,                 2.0296,              0.0087186,              0.0087186,              0.0087186
                     84,                 1.5454,                 2.1529,                 1.7897,                0.78106,                0.64588,                0.71511,                0.42432,                 1.6744,                 2.2689,                 1.9938,              0.0086887,              0.0086887,              0.0086887
                     85,                 1.5174,                 2.1435,                 1.7864,                 0.7302,                0.69841,                0.72998,                0.43954,                 1.6419,                 2.2155,                 1.9595,              0.0086584,              0.0086584,              0.0086584
                     86,                 1.5206,                 2.1519,                 1.7775,                0.74263,                0.67394,                0.71918,                0.42786,                 1.6621,                 2.2481,                   1.99,              0.0086278,              0.0086278,              0.0086278
                     87,                 1.5214,                  2.139,                  1.787,                0.79906,                0.64897,                0.72602,                0.43735,                 1.6515,                 2.2198,                 1.9803,               0.008597,               0.008597,               0.008597
                     88,                 1.5389,                 2.2138,                 1.8022,                0.71408,                 0.6708,                 0.7146,                0.41992,                 1.6763,                 2.2473,                 2.0016,              0.0085659,              0.0085659,              0.0085659
                     89,                 1.4841,                 2.0705,                 1.7749,                 0.7737,                0.69693,                0.73537,                0.44126,                 1.6729,                 2.2371,                 1.9628,              0.0085344,              0.0085344,              0.0085344
                     90,                 1.5024,                 2.0633,                 1.7691,                 0.7738,                0.68072,                0.74101,                0.43895,                  1.652,                 2.1757,                 1.9777,              0.0085027,              0.0085027,              0.0085027
                     91,                  1.531,                 2.1132,                 1.7781,                 0.7629,                0.67141,                0.73696,                0.42781,                 1.6791,                 2.2286,                 2.0229,              0.0084708,              0.0084708,              0.0084708
                     92,                 1.4939,                 2.0752,                 1.7768,                0.75269,                0.68273,                0.73909,                0.43529,                 1.7006,                 2.2244,                 2.0184,              0.0084385,              0.0084385,              0.0084385
                     93,                 1.5235,                 2.1182,                 1.7947,                0.75546,                0.65953,                0.72591,                0.40958,                 1.7355,                 2.2464,                 2.0228,               0.008406,               0.008406,               0.008406
                     94,                 1.5291,                  2.101,                 1.7868,                0.74565,                0.68062,                0.74266,                0.42979,                 1.6947,                 2.1575,                 2.0012,              0.0083732,              0.0083732,              0.0083732
                     95,                 1.5103,                 2.0883,                 1.7732,                0.75999,                0.68487,                0.73835,                0.43551,                 1.6686,                 2.1407,                 1.9846,              0.0083401,              0.0083401,              0.0083401
                     96,                 1.5023,                 2.0698,                  1.767,                  0.737,                0.70797,                0.73249,                0.43015,                 1.6958,                 2.1652,                 2.0113,              0.0083068,              0.0083068,              0.0083068
                     97,                 1.4917,                 2.0328,                 1.7401,                0.79587,                0.68133,                0.74171,                0.44013,                 1.6418,                 2.1371,                 1.9679,              0.0082732,              0.0082732,              0.0082732
                     98,                 1.5094,                 2.0583,                 1.7692,                0.74658,                0.69133,                0.72664,                0.42784,                 1.6881,                 2.1988,                  1.997,              0.0082394,              0.0082394,              0.0082394
                     99,                 1.4815,                 2.0322,                 1.7681,                 0.7411,                0.69896,                0.73606,                0.43885,                 1.6691,                 2.1625,                 1.9965,              0.0082052,              0.0082052,              0.0082052
